datasetUuid,endpointType,startedCrawling,finishedCrawling,duration,finishReason,pagesCrawled,pagesFragmentedSuccessful,pagesFragmentedError,fragmentsEmitted,fragmentsReceived,rawOccurrencesPersistedNew,rawOccurrencesPersistedUpdated,rawOccurrencesPersistedUnchanged,rawOccurrencesPersistedError,fragmentsProcessed,verbatimOccurrencesPersistedSuccessful,verbatimOccurrencesPersistedError,interpretedOccurrencesPersistedSuccessful,interpretedOccurrencesPersistedError
http://gbrds.gbif.org/browse/agent?uuid=cb643105-2e6b-403d-a23b-2c8128d1f97c,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:55:11,2013-04-09T10:55:11,0,NORMAL,1,1,0,15835,15835,15835,0,0,0,15835,15835,0,15835,0
http://gbrds.gbif.org/browse/agent?uuid=16688988-f52e-47eb-a0ec-c24ac15f9d9c,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:19:50,2013-04-09T11:19:51,1,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=1bd42c2b-b58a-4a01-816b-bec8c8977927,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:13:49,2013-04-09T11:13:49,0,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=ff6421c1-b69b-4e81-804d-142c71c1a982,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:36:59,2013-04-09T11:46:59,600,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=7157af0e-f762-11e1-a439-00145eb45e9a,BIOCASE,2013-04-09T10:55:33,2013-04-09T10:56:55,82,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=ec1922d6-292e-4443-8bae-deba1092856b,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:56:59,2013-04-09T10:57:01,1,NORMAL,1,1,0,19723,19723,19723,0,0,0,19723,19723,0,19723,0
http://gbrds.gbif.org/browse/agent?uuid=6eed5110-c7b8-11de-b279-d063ea754e15,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:57:09,2013-04-09T10:57:09,0,NORMAL,1,1,0,14915,14915,0,0,0,14915,14915,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=64ac1450-3abe-4a48-a49c-07f1347740c1,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:36:35,2013-04-09T11:46:35,600,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=07377786-b4bc-48dd-864c-a6d6668abb17,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:15:21,2013-04-09T11:15:24,2,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=fd31dcf6-f3be-4d98-a085-5a70683b6ce4,DWC_ARCHIVE_CHECKLIST,2013-04-09T10:55:10,2013-04-09T10:55:12,1,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=1c403d2c-5c37-4237-9746-8ed539b9ba15,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:58:39,2013-04-09T10:58:41,2,NORMAL,1,1,0,2731,2731,2731,0,0,0,2731,2731,0,2731,0
http://gbrds.gbif.org/browse/agent?uuid=bfe82ca9-01ec-4eff-be5d-b7ea15faf59c,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:55:34,2013-04-09T10:55:34,0,NORMAL,1,1,0,4176,4176,4176,0,0,0,4176,4176,0,4176,0
http://gbrds.gbif.org/browse/agent?uuid=ffc8f6a2-0bb4-45c5-a978-9064a52c5e02,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:57:24,2013-04-09T10:57:24,0,NORMAL,1,1,0,4772,4772,4772,0,0,0,4772,4772,0,4772,0
http://gbrds.gbif.org/browse/agent?uuid=82f4c440-f762-11e1-a439-00145eb45e9a,DIGIR,2013-04-09T10:57:23,2013-04-09T11:28:55,1892,NORMAL,678,678,0,12155,12155,12155,0,0,0,12155,12155,0,12155,0
http://gbrds.gbif.org/browse/agent?uuid=c70b5eab-1519-44fe-9df7-93f216d48dc5,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:58:50,2013-04-09T11:08:50,600,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=e1b7e902-947d-4b74-8437-cdb422437d62,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:36:43,2013-04-09T11:46:43,600,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=aec6d756-3aa8-465e-83fd-4f6ee83e693e,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:58:46,2013-04-09T10:58:50,4,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=72d94851-55db-4604-ae8f-78ffc16ef4cf,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:14:27,2013-04-09T11:14:28,0,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=fbab0194-b923-49d4-9848-1b3279a6673e,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:29:37,2013-04-09T11:29:39,1,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=dfaa38f0-d303-4e64-ab20-42a70f01ded6,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:57:00,2013-04-09T10:57:03,3,NORMAL,1,1,0,1395,1395,1395,0,0,0,1395,1395,0,1395,0
http://gbrds.gbif.org/browse/agent?uuid=96313a17-ea7a-471b-978b-a86d15bd4d6f,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:58:30,2013-04-09T10:58:30,0,NORMAL,1,1,0,3324,3324,3324,0,0,0,3324,3324,0,3324,0
http://gbrds.gbif.org/browse/agent?uuid=d8c06a98-4875-4c56-90ca-78e0fdf07106,DWC_ARCHIVE_CHECKLIST,2013-04-09T10:55:14,2013-04-09T10:55:16,1,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=98b2473c-144b-4fb1-b954-e0c87eb55408,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:15:23,2013-04-09T11:16:31,67,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
