id	data_provider_id	data_resource_id	resource_access_point_id	institution_code	collection_code	catalogue_number	scientific_name	author	rank	kingdom	phylum	class	order_rank	family	genus	species	subspecies	latitude	longitude	lat_long_precision	max_altitude	min_altitude	altitude_precision	min_depth	max_depth	depth_precision	continent_ocean	country	state_province	county	collector_name	locality	year	month	day	basis_of_record	identifier_name	identification_date	unit_qualifier	created	modified	deleted
1444	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988260	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1900	1	1	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:38	NULL
1445	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988261	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	28	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:38	NULL
1446	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988262	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	28	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:38	NULL
1447	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988263	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1951	9	15	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:38	NULL
1448	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988264	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1951	9	15	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:38	NULL
1449	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988265	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1951	9	15	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:38	NULL
1450	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988266	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	26	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:38	NULL
1451	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988267	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	26	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:38	NULL
1452	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988268	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	26	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:38	NULL
1453	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988269	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	27	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:38	NULL
1454	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988270	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	18	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:38	NULL
1455	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988271	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	18	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:38	NULL
1456	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988272	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	18	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1457	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988273	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	17	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1458	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988274	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	17	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1459	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988275	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	17	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1460	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988276	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	7	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1461	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988277	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	7	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1462	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988278	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	7	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1463	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988279	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	23	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1464	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988280	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	23	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1465	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988281	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	23	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1466	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988282	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	23	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1467	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988283	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	23	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1468	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988284	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	23	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1469	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988285	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	23	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1470	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988286	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	23	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1471	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988287	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	8	13	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1472	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988288	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	8	13	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1473	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988289	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1952	10	25	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1474	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988290	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	25	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1475	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988291	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	25	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1476	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988292	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	18	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1477	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988293	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	18	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1478	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988294	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	25	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1479	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988295	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	26	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1480	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988296	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	26	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
1481	24	1081	47	BfN/Vegetweb	"VegetWeb: zentrale Datenbank der Arbeitsgemeinschaft Vegetationsdatenbanken; Teil der Zentralstelle für Phytodiversität, Deutschland (ZePhyD)"	99988297	Abies alba	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Abies	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	D	NULL	NULL	NULL	NULL	1950	9	26	NULL	NULL	NULL	NULL	2007-03-09 15:55:11	2007-11-20 20:05:39	NULL
